Unnamed: 0,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date,review,review_category
35311,UK,4652511,R2PF9XCB2AOY7C,B00MNYTWMI,174964168,Midnight Castle – A Free Hidden Object Mystery Game for Fire! Find objects and solve puzzles!,Mobile_Apps,5,0,1,N,Y,2014-09-16,"Addictive game Very good game, the graphics are brilliant. A great game if you like hidden object games.",1
44590,UK,8778070,R2OVRHVTCC7U18,B00I8Q77Y0,370420344,Flappy Wings (not Flappy Bird),Mobile_Apps,2,1,2,N,Y,2014-02-16,"Where to start? I came on here because I wanted to get flappy bird but when I saw this I thought it was basically the same thing but it's even harder,more frustrating and annoying,doesn't react straight away and I don't get what's with the poo. I want flappy bird!!!!!!!!",0
90295,UK,8476187,RRPSNSVU2RNE4,B008PEHK6U,173475712,Man of Steel [DVD],Video DVD,3,1,5,N,N,2013-12-28,"Really Disappointed in this Film I have to say I was so looking forward to this remake of superman. The trailer for the film made it look fantastic. Talk about disappointed when I watched it on Christmas day! There were good points for the film, that I didn't feel were really properly realised. Amy Adams as Lois Lane was one. She actually made me like the character, which was a first for me. I also did like the fact that Lois found out who superman was early on in the film. I always found it daft that she didn't work it out in the original film (some reporter!). I also thought Russell Crowe played the part of Jor El to perfection. The young actor that played 13 year old Clark was also fantastic. He out shone the adult version of himself by a mile!<br /><br />Newcomer Henry Cavill sadly lacked as the adult Clark Kent and Superman. He didn't make me care about him and I didn't feel connected to him at all. I really thought he would take over and make this role his, but Christopher Reeves still holds the title as the best big screen Superman as far as I'm concerned. Add to that far too many endless scenes where Superman and his enemies are being thrown through buildings, explosions from behind and punching each other up (which got tedious and boring) and you've got one big disappointment in film viewing. The whole thing gave me a headache by the end.<br /><br />Why can't film makers leave special effects as an enhancement to the film and concentrate some much needed attention on storyline and character development? After all, endless action scenes without storyline and characters you care about, will result in a film people can only watch once, rather than one that you can watch again and again. I was in a quandary about whether to watch Superman 2 with the edition of Batman (who I hate and never watch), but this has cleared things up for me. I will happily skip the second movie and not lose any sleep over it.<br /><br />If you love Superman, you're better off with the original films and TV series Smallville. Both are far better than this. Action junkies will love this version however.",0
38798,UK,4329864,R1WK44Y81XH276,B00NWLIW0E,13526192,Goat Simulator,Mobile_Apps,1,3,5,N,N,2014-12-26,"Rubbish game When I tried to open it, it said it had stopped-fix this and higher rating",0
43364,UK,8080547,R2UL591NPU40SN,B00HRC40T6,887316735,Shadow Blade,Mobile_Apps,1,0,0,N,Y,2015-06-29,One Star Come on,0
54646,UK,4408541,R1H3IL718PM5XM,B00N9LNNQU,855810407,48:13 (Deluxe),Music,5,0,0,N,Y,2015-01-22,Five Stars brilliant fast postage and 48:13 was fab thanks,1
53806,UK,4096537,R1Z5ZQ8XPIZAPX,B000AL5OZA,331582496,Eyes of a Woman,Music,5,0,0,N,Y,2014-09-08,Five Stars The CD is excellent but I wish your review system would work more efficiently,1
97291,UK,20142342,R3S8SSFKU7YW6I,B00CZP9PTK,155599171,Behind the Candelabra [DVD],Video DVD,1,5,33,N,Y,2013-12-24,"Not worth buying As a family we are huge Matt Damon fans, especially the Bourne series. This is NOTHING like the Bourne series. we sat down to watch it with my 14 year old and 16 year old sons, but the lack of any plot and action (besides the sort of action which makes me wonder how it only got a 15 rating) made us turn it off about 40 minutes into the movie.",0
61513,UK,6459449,R2CAI371EB6KWA,B000EU1KRS,128572519,St. Elsewhere,Music,5,0,1,N,Y,2015-01-27,Five Stars good buy,1
41462,UK,6227446,RZAM3MFJM08ZE,B00LV4PZ3G,559086408,Color Switch,Mobile_Apps,1,0,0,N,Y,2014-10-11,One Star Did not like at all,0
